科学部,,合计,,,教育部,,中国科学院,,"工,交,农,医,国防等部门",,"各省,自治区,市(直)",
,,项数,金额,,项数,金额,项数,金额,项数,金额,项数,金额
合计,,18947,1115289.00,,8736,514641.70,2100,128261.50,2286,134998.50,5825,337387.30
%,,100.00%,100.00%,,46.11%,46.14%,11.08%,11.50%,12.07%,12.10%,30.74%,30.25%
数理科学部,,1743,104640.00,,740,43980.00,311,19560.00,254,15626.00,438,25474.00
%,,100%,100%,,42%,42%,18%,19%,15%,15%,25%,24%
化学科学部,,1737,113180.00,,871,56784.20,308,20114.00,112,7271.00,446,29010.80
%,,100%,100%,,50%,50%,18%,18%,6%,6%,26%,26%
生命科学部,,3048,177470.00,,1236,72574.00,444,26177.00,299,17393.00,1069,61326.00
%,,100%,100%,,41%,41%,15%,15%,10%,10%,35%,35%
地球科学部,,1895,117210.00,,735,45561.00,517,31983.00,276,17207.00,367,22459.00
%,,100%,100%,,39%,39%,27%,27%,15%,15%,19%,19%
工程与材料科学部,,3199,192088.00,,1668,100238.00,195,11732.00,418,25105.00,918,55013.00
%,,100%,100%,,52%,52%,6%,6%,13%,13%,29%,29%
信息科学部,,2007,120037.00,,910,55086.00,201,11873.00,297,17782.00,599,35296.00
%,,100%,100%,,45%,46%,10%,10%,15%,15%,30%,29%
管理科学部,,803,38544.00,,534,25667.50,28,1355.00,67,3211.00,174,8310.50
%,,100%,100%,,67%,67%,3%,4%,8%,8%,22%,22%
医学科学部,,4515,252120.00,,2042,114751.00,96,5467.50,563,31403.50,1814,100498.00
%,,100%,100%,,45%,46%,2%,2%,12%,12%,40%,40%
