"	合计	平均年龄	<=25	26-30	31-35	36-40	41-45	46-50	51-55	56-60	61-65	66-70	71-200"
"合计	18947	42.97	0	142	3125	5620	3674	2459	2559	998	316	34	20"
"%	100.00%	-	0.00%	0.75%	16.49%	29.66%	19.39%	12.98%	13.51%	5.27%	1.67%	0.18%	0.11%"
"数理科学部	1743	41.81	0	19	368	568	302	182	200	70	28	5	1"
"%	100.00%	-	0.00%	1.09%	21.11%	32.59%	17.33%	10.44%	11.47%	4.02%	1.61%	0.29%	0.06%"
"化学科学部	1737	42.1	0	10	289	583	365	203	208	57	19	2	1"
"%	100.00%	-	0.00%	0.58%	16.64%	33.56%	21.01%	11.69%	11.97%	3.28%	1.09%	0.12%	0.06%"
"生命科学部	3048	43.09	0	17	464	907	607	449	394	169	37	1	3"
"%	100.00%	-	0.00%	0.56%	15.22%	29.76%	19.91%	14.73%	12.93%	5.54%	1.21%	0.03%	0.10%"
"地球科学部	1895	41.57	0	19	429	612	316	192	212	89	23	1	2"
"%	100.00%	-	0.00%	1.00%	22.64%	32.30%	16.68%	10.13%	11.19%	4.70%	1.21%	0.05%	0.11%"
"工程与材料科学部	3199	42.72	0	26	553	986	587	424	395	165	56	3	4"
"%	100.00%	-	0.00%	0.81%	17.29%	30.82%	18.35%	13.25%	12.35%	5.16%	1.75%	0.09%	0.13%"
"信息科学部	2007	41.43	0	19	410	688	394	197	190	73	29	4	3"
"%	100.00%	-	0.00%	0.95%	20.43%	34.28%	19.63%	9.82%	9.47%	3.64%	1.44%	0.20%	0.15%"
"管理科学部	803	42.67	0	4	131	243	177	107	89	34	14	0	4"
"%	100.00%	-	0.00%	0.50%	16.31%	30.26%	22.04%	13.33%	11.08%	4.23%	1.74%	0.00%	0.50%"
"医学科学部	4515	45.18	0	28	481	1033	926	705	871	341	110	18	2"
"%	100.00%	-	0.00%	0.62%	10.65%	22.88%	20.51%	15.61%	19.29%	7.55%	2.44%	0.40%	0.04%"
